#File	data/raw_data/ATAC_D0_repl_2_HDACi_S37_R1_001.fastq.gz	data/raw_data/ATAC_D0_repl_2_HDACi_S37_R2_001.fastq.gz
#Total	91791052
#Matched	30852	0.03361%
#Name	Reads	ReadsPct
I7_Nextera_Transposase_1	15512	0.01690%
I5_Nextera_Transposase_1	14968	0.01631%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N707	226	0.00025%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]501	122	0.00013%
TruSeq_Universal_Adapter	5	0.00001%
I5_Primer_Nextera_XT_Index_Kit_v2_S516	4	0.00000%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]507	4	0.00000%
I5_Primer_Nextera_XT_Index_Kit_v2_S522	3	0.00000%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]502	2	0.00000%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]505	2	0.00000%
I5_Primer_Nextera_XT_Index_Kit_v2_S510	1	0.00000%
I5_Primer_Nextera_XT_Index_Kit_v2_S521	1	0.00000%
PhiX_read2_adapter	1	0.00000%
Reverse_adapter	1	0.00000%
