## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT data/mapped_data/ATAC_D0_repl_2_HDACi_S37_trimmed_Aligned.sortedByCoord.out.bam --OUTPUT data/mapped_data/ATAC_D0_repl_2_HDACi_S37_trimmed_Aligned.sortedByCoord.dupMarker.out.bam --METRICS_FILE qc_reports/mapping_reads/ATAC_D0_repl_2_HDACi_S37_trimmed_marked_dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Aug 19 03:58:48 PDT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1116	44653298	16857969	0	742	25488800	504344	0.570817	22205262

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.003563	13783302	0	13938204
2.0	1.137904	3398832	369703	3323469
3.0	1.155887	954082	28329	907340
4.0	1.158294	313323	8243	294760
5.0	1.158617	134531	3560	127967
6.0	1.15866	76562	1823	74212
7.0	1.158666	53774	1027	52753
8.0	1.158666	40824	679	40440
9.0	1.158666	33476	416	33183
10.0	1.158667	28151	301	27887
11.0	1.158667	23772	234	23571
12.0	1.158667	20754	168	20547
13.0	1.158667	18062	120	17897
14.0	1.158667	16289	79	16164
15.0	1.158667	14547	52	14434
16.0	1.158667	13106	53	13039
17.0	1.158667	11933	39	11701
18.0	1.158667	10547	30	10564
19.0	1.158667	9739	30	9650
20.0	1.158667	8873	18	8829
21.0	1.158667	8372	16	8287
22.0	1.158667	7791	13	7653
23.0	1.158667	7092	8	7037
24.0	1.158667	6647	15	6614
25.0	1.158667	6097	7	6073
26.0	1.158667	5782	11	5715
27.0	1.158667	5466	8	5414
28.0	1.158667	5061	3	4982
29.0	1.158667	4861	1	4836
30.0	1.158667	4476	1	4437
31.0	1.158667	4192	6	4065
32.0	1.158667	3899	2	3985
33.0	1.158667	3818	2	3766
34.0	1.158667	3629	3	3605
35.0	1.158667	3452	1	3455
36.0	1.158667	3275	2	3245
37.0	1.158667	3130	3	3062
38.0	1.158667	2918	1	2912
39.0	1.158667	2836	0	2828
40.0	1.158667	2769	0	2773
41.0	1.158667	2696	0	2634
42.0	1.158667	2609	2	2556
43.0	1.158667	2482	0	2432
44.0	1.158667	2332	0	2352
45.0	1.158667	2224	0	2144
46.0	1.158667	2111	0	2114
47.0	1.158667	2030	0	2007
48.0	1.158667	1972	0	1931
49.0	1.158667	1814	1	1869
50.0	1.158667	1788	0	1756
51.0	1.158667	1762	0	1717
52.0	1.158667	1672	0	1640
53.0	1.158667	1602	0	1616
54.0	1.158667	1551	0	1552
55.0	1.158667	1536	0	1458
56.0	1.158667	1431	0	1430
57.0	1.158667	1383	0	1345
58.0	1.158667	1344	0	1323
59.0	1.158667	1318	0	1340
60.0	1.158667	1225	0	1269
61.0	1.158667	1300	0	1234
62.0	1.158667	1230	0	1206
63.0	1.158667	1171	0	1163
64.0	1.158667	1132	0	1117
