## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT data/mapped_data/ATAC_D0_repl_2_LSD1i_S38_trimmed_Aligned.sortedByCoord.out.bam --OUTPUT data/mapped_data/ATAC_D0_repl_2_LSD1i_S38_trimmed_Aligned.sortedByCoord.dupMarker.out.bam --METRICS_FILE qc_reports/mapping_reads/ATAC_D0_repl_2_LSD1i_S38_trimmed_marked_dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Aug 19 05:11:07 PDT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1620	49046935	17049151	0	1099	27286025	567457	0.556327	25624727

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.003889	14635063	0	14802851
2.0	1.151945	4400867	437918	4337599
3.0	1.17378	1413056	29654	1358720
4.0	1.177001	489661	7658	462404
5.0	1.177476	197507	3401	186182
6.0	1.177546	100378	1729	95796
7.0	1.177556	62661	911	61007
8.0	1.177557	46152	591	45264
9.0	1.177558	36254	394	35809
10.0	1.177558	30067	272	29667
11.0	1.177558	25385	156	25019
12.0	1.177558	21558	109	21390
13.0	1.177558	19308	77	19227
14.0	1.177558	16654	60	16410
15.0	1.177558	14918	60	14854
16.0	1.177558	13610	54	13578
17.0	1.177558	12257	29	12020
18.0	1.177558	11085	28	11075
19.0	1.177558	10057	16	10029
20.0	1.177558	9230	19	9151
21.0	1.177558	8683	18	8487
22.0	1.177558	7829	12	7736
23.0	1.177558	7139	13	7036
24.0	1.177558	6782	4	6794
25.0	1.177558	6309	7	6222
26.0	1.177558	5758	1	5750
27.0	1.177558	5624	7	5505
28.0	1.177558	5041	3	4999
29.0	1.177558	4896	2	4841
30.0	1.177558	4493	1	4428
31.0	1.177558	4392	0	4330
32.0	1.177558	4017	1	4003
33.0	1.177558	3846	3	3818
34.0	1.177558	3628	2	3518
35.0	1.177558	3365	4	3444
36.0	1.177558	3206	0	3139
37.0	1.177558	3119	0	3060
38.0	1.177558	2948	0	2999
39.0	1.177558	2830	1	2771
40.0	1.177558	2691	0	2628
41.0	1.177558	2612	0	2640
42.0	1.177558	2475	1	2431
43.0	1.177558	2344	0	2272
44.0	1.177558	2253	0	2247
45.0	1.177558	2166	0	2154
46.0	1.177558	2092	0	2141
47.0	1.177558	2045	0	1975
48.0	1.177558	1919	1	1882
49.0	1.177558	1804	0	1766
50.0	1.177558	1718	0	1715
51.0	1.177558	1691	0	1671
52.0	1.177558	1676	0	1666
53.0	1.177558	1628	0	1577
54.0	1.177558	1522	0	1490
55.0	1.177558	1475	1	1453
56.0	1.177558	1434	0	1377
57.0	1.177558	1336	0	1394
58.0	1.177558	1362	0	1358
59.0	1.177558	1311	0	1336
60.0	1.177558	1242	0	1249
61.0	1.177558	1281	0	1221
62.0	1.177558	1224	0	1209
63.0	1.177558	1136	0	1119
64.0	1.177558	1114	1	1078
