## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT data/mapped_data/ATAC_D0_repl_2_no_tx_S39_trimmed_Aligned.sortedByCoord.out.bam --OUTPUT data/mapped_data/ATAC_D0_repl_2_no_tx_S39_trimmed_Aligned.sortedByCoord.dupMarker.out.bam --METRICS_FILE qc_reports/mapping_reads/ATAC_D0_repl_2_no_tx_S39_trimmed_marked_dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Aug 19 03:33:12 PDT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1785	50553121	18336377	0	1143	27665590	569964	0.547259	27232257

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.003932	15715440	0	15886710
2.0	1.160785	4482973	439891	4415556
3.0	1.185292	1387225	30242	1331445
4.0	1.18912	469120	7865	442681
5.0	1.189719	189455	3329	178864
6.0	1.189812	98502	1643	94374
7.0	1.189827	63362	951	61856
8.0	1.189829	47074	565	46202
9.0	1.189829	37812	365	37444
10.0	1.189829	31550	260	31247
11.0	1.189829	26483	172	25990
12.0	1.189829	22720	122	22682
13.0	1.189829	20194	93	19931
14.0	1.189829	17722	75	17594
15.0	1.189829	15872	51	15822
16.0	1.189829	14108	34	14006
17.0	1.189829	13043	19	12857
18.0	1.189829	11651	19	11572
19.0	1.189829	10667	20	10534
20.0	1.189829	9795	14	9693
21.0	1.189829	9148	10	9085
22.0	1.189829	8190	9	8147
23.0	1.189829	7633	9	7544
24.0	1.189829	7111	3	7027
25.0	1.189829	6675	5	6632
26.0	1.189829	6195	5	6071
27.0	1.189829	5753	6	5658
28.0	1.189829	5318	6	5341
29.0	1.189829	5033	2	5016
30.0	1.189829	4821	3	4761
31.0	1.189829	4576	2	4529
32.0	1.189829	4277	1	4157
33.0	1.189829	3889	2	3921
34.0	1.189829	3752	2	3710
35.0	1.189829	3565	2	3451
36.0	1.189829	3372	1	3389
37.0	1.189829	3263	0	3218
38.0	1.189829	3067	0	2983
39.0	1.189829	2933	0	2923
40.0	1.189829	2728	0	2793
41.0	1.189829	2758	1	2697
42.0	1.189829	2662	1	2598
43.0	1.189829	2466	0	2445
44.0	1.189829	2333	2	2350
45.0	1.189829	2303	0	2228
46.0	1.189829	2171	0	2120
47.0	1.189829	1956	0	1988
48.0	1.189829	2044	0	1950
49.0	1.189829	1903	0	1872
50.0	1.189829	1750	0	1772
51.0	1.189829	1731	0	1715
52.0	1.189829	1680	0	1695
53.0	1.189829	1607	0	1586
54.0	1.189829	1625	0	1603
55.0	1.189829	1525	0	1523
56.0	1.189829	1563	0	1559
57.0	1.189829	1468	0	1383
58.0	1.189829	1319	0	1407
59.0	1.189829	1398	0	1333
60.0	1.189829	1291	1	1303
61.0	1.189829	1263	0	1206
62.0	1.189829	1236	0	1213
63.0	1.189829	1199	0	1155
64.0	1.189829	1104	0	1113
65.0	1.189829	1074	0	1047
66.0	1.189829	1046	0	1049
67.0	1.189829	992	0	1053
68.0	1.189829	1111	0	1101
69.0	1.189829	1041	0	982
70.0	1.189829	955	0	942
71.0	1.189829	893	0	890
72.0	1.189829	907	0	911
73.0	1.189829	903	0	897
74.0	1.189829	879	0	897
75.0	1.189829	850	0	821
76.0	1.189829	894	0	872
77.0	1.189829	788	0	750
78.0	1.189829	703	0	728
79.0	1.189829	755	0	746
80.0	1.189829	763	0	705
81.0	1.189829	721	0	717
82.0	1.189829	707	0	677
83.0	1.189829	656	0	670
84.0	1.189829	644	0	657
85.0	1.189829	663	0	645
86.0	1.189829	664	0	664
87.0	1.189829	629	0	608
88.0	1.189829	590	0	597
89.0	1.189829	568	0	530
90.0	1.189829	574	0	575
91.0	1.189829	535	0	537
92.0	1.189829	556	0	585
93.0	1.189829	543	0	472
94.0	1.189829	493	0	515
95.0	1.189829	501	0	485
96.0	1.189829	522	0	519
97.0	1.189829	502	0	449
98.0	1.189829	459	0	474
99.0	1.189829	442	0	456
100.0	1.189829	454	0	468
101.0	0	445	0	473
102.0	0	491	0	455
103.0	0	447	0	438
104.0	0	451	0	434
105.0	0	423	0	433
106.0	0	403	0	388
107.0	0	414	0	386
108.0	0	371	0	347
109.0	0	368	0	360
110.0	0	329	0	355
111.0	0	368	0	385
112.0	0	376	0	347
113.0	0	349	0	375
114.0	0	363	0	392
115.0	0	366	0	370
116.0	0	365	0	323
117.0	0	340	0	336
118.0	0	353	0	341
119.0	0	327	0	329
120.0	0	331	0	309
121.0	0	329	0	302
122.0	0	275	0	273
123.0	0	289	0	275
124.0	0	269	0	276
125.0	0	274	0	277
126.0	0	269	0	259
127.0	0	261	0	263
128.0	0	262	0	278
129.0	0	282	0	276
130.0	0	265	0	234
131.0	0	247	0	255
132.0	0	253	0	237
133.0	0	242	0	246
134.0	0	216	0	250
135.0	0	242	0	223
136.0	0	247	0	234
137.0	0	236	0	237
138.0	0	226	0	224
139.0	0	217	0	220
140.0	0	227	0	245
141.0	0	230	0	202
142.0	0	217	0	207
143.0	0	203	0	205
144.0	0	222	0	203
145.0	0	202	0	217
146.0	0	207	0	199
147.0	0	206	0	223
148.0	0	208	0	183
149.0	0	197	0	176
150.0	0	189	0	191
151.0	0	167	0	182
152.0	0	194	0	167
153.0	0	183	0	167
154.0	0	152	0	161
155.0	0	162	0	191
156.0	0	186	0	176
157.0	0	155	0	174
158.0	0	179	0	175
159.0	0	173	0	163
160.0	0	168	0	158
161.0	0	183	0	189
162.0	0	161	0	170
163.0	0	159	0	150
164.0	0	154	0	131
165.0	0	156	0	178
166.0	0	166	0	144
167.0	0	138	0	149
168.0	0	148	0	155
169.0	0	151	0	151
170.0	0	149	0	141
171.0	0	149	0	141
172.0	0	141	0	142
173.0	0	143	0	119
174.0	0	132	0	129
175.0	0	125	0	121
176.0	0	132	0	141
177.0	0	127	0	139
178.0	0	131	0	112
179.0	0	104	0	109
180.0	0	137	0	126
181.0	0	129	0	122
182.0	0	132	0	133
183.0	0	122	0	122
184.0	0	108	0	119
185.0	0	129	0	100
186.0	0	118	0	116
187.0	0	98	0	107
188.0	0	110	0	109
189.0	0	113	0	119
190.0	0	109	0	98
191.0	0	105	0	108
192.0	0	90	0	99
193.0	0	119	0	116
194.0	0	111	0	104
195.0	0	108	0	103
196.0	0	104	0	88
197.0	0	82	0	87
198.0	0	92	0	80
199.0	0	91	0	100
200.0	0	100	0	106
201.0	0	100	0	86
202.0	0	90	0	110
203.0	0	105	0	101
204.0	0	116	0	96
205.0	0	88	0	80
206.0	0	70	0	87
207.0	0	90	0	102
208.0	0	96	0	80
209.0	0	84	0	95
