Module	Section	Sample Name	Source
Cutadapt	all_sections	ATAC_D8_repl_2_LSD1i_S41_R2_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/cutadapt_trimmed/ATAC_D8_repl_2_LSD1i_S41_R1_001.cutadapt.out
Cutadapt	all_sections	ATAC_D0_repl_2_no_tx_S39_R2_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/cutadapt_trimmed/ATAC_D0_repl_2_no_tx_S39_R1_001.cutadapt.out
Cutadapt	all_sections	ATAC_D8_repl_2_no_tx_S42_R2_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/cutadapt_trimmed/ATAC_D8_repl_2_no_tx_S42_R1_001.cutadapt.out
Cutadapt	all_sections	ATAC_D0_repl_2_HDACi_S37_R2_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/cutadapt_trimmed/ATAC_D0_repl_2_HDACi_S37_R1_001.cutadapt.out
Cutadapt	all_sections	ATAC_D8_repl_2_HDACi_S40_R2_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/cutadapt_trimmed/ATAC_D8_repl_2_HDACi_S40_R1_001.cutadapt.out
Cutadapt	all_sections	ATAC_D0_repl_2_LSD1i_S38_R2_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/cutadapt_trimmed/ATAC_D0_repl_2_LSD1i_S38_R1_001.cutadapt.out
FastQC	all_sections	ATAC_D0_repl_2_HDACi_S37_trimmed_R1_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_trimmed/ATAC_D0_repl_2_HDACi_S37_trimmed_R1_001_fastqc.zip
FastQC	all_sections	ATAC_D8_repl_2_no_tx_S42_trimmed_R1_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_trimmed/ATAC_D8_repl_2_no_tx_S42_trimmed_R1_001_fastqc.zip
FastQC	all_sections	ATAC_D8_repl_2_HDACi_S40_trimmed_R1_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_trimmed/ATAC_D8_repl_2_HDACi_S40_trimmed_R1_001_fastqc.zip
FastQC	all_sections	ATAC_D8_repl_2_no_tx_S42_trimmed_R2_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_trimmed/ATAC_D8_repl_2_no_tx_S42_trimmed_R2_001_fastqc.zip
FastQC	all_sections	ATAC_D0_repl_2_LSD1i_S38_trimmed_R2_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_trimmed/ATAC_D0_repl_2_LSD1i_S38_trimmed_R2_001_fastqc.zip
FastQC	all_sections	ATAC_D0_repl_2_no_tx_S39_trimmed_R2_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_trimmed/ATAC_D0_repl_2_no_tx_S39_trimmed_R2_001_fastqc.zip
FastQC	all_sections	ATAC_D8_repl_2_LSD1i_S41_trimmed_R2_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_trimmed/ATAC_D8_repl_2_LSD1i_S41_trimmed_R2_001_fastqc.zip
FastQC	all_sections	ATAC_D0_repl_2_LSD1i_S38_trimmed_R1_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_trimmed/ATAC_D0_repl_2_LSD1i_S38_trimmed_R1_001_fastqc.zip
FastQC	all_sections	ATAC_D0_repl_2_no_tx_S39_trimmed_R1_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_trimmed/ATAC_D0_repl_2_no_tx_S39_trimmed_R1_001_fastqc.zip
FastQC	all_sections	ATAC_D0_repl_2_HDACi_S37_trimmed_R2_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_trimmed/ATAC_D0_repl_2_HDACi_S37_trimmed_R2_001_fastqc.zip
FastQC	all_sections	ATAC_D8_repl_2_LSD1i_S41_trimmed_R1_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_trimmed/ATAC_D8_repl_2_LSD1i_S41_trimmed_R1_001_fastqc.zip
FastQC	all_sections	ATAC_D8_repl_2_HDACi_S40_trimmed_R2_001	/home/dchen2/BULKATACSEQ_FOR_JWLEE/qc_reports/fastqc_trimmed/ATAC_D8_repl_2_HDACi_S40_trimmed_R2_001_fastqc.zip
